Epoch,Training Loss,Validation Loss,Validation Rouge1,Validation Rouge2,Validation Rougel,Validation Rougelsum,Validation Bleu1,Validation Bleu2,Validation Bleu3,Validation Bleu4,Validation Bleu,Validation Meteor,Validation Bertscore F1,Validation Gen Len,Validation Runtime,Validation Samples Per Second,Validation Steps Per Second
1,5.8356,4.784677505493164,17.65,4.01,16.88,16.84,21.72,3.92,0.28,0.0,0.0,8.64,81.66,14.405714285714286,139.3958,1.255,0.079
2,4.5487,4.337588787078857,26.28,7.1,24.23,24.29,26.47,6.53,0.35,0.0,0.0,13.71,82.39,17.571428571428573,20.2564,8.639,0.543
3,3.5528,2.666642665863037,47.5,31.66,45.89,45.94,64.17,42.73,32.76,25.6,24.17,42.06,90.25,14.057142857142857,74.0845,2.362,0.148
